  5.166821180809e-001  2.000000000000e+001  4.326942317120e+000
  1.550046354243e+000  9.100000000000e+001  2.812512506128e+000
  2.583410590404e+000  8.400000000000e+001  9.564819858896e-001
  3.616774826566e+000  4.600000000000e+001  2.689720899831e-001
  4.650139062728e+000  3.000000000000e+001  1.064002209128e-001
  5.683503298890e+000  1.500000000000e+001  3.566161250373e-002
  6.716867535051e+000  1.600000000000e+001  2.725632955666e-002
  7.750231771213e+000  4.000000000000e+000  5.120641795408e-003
  8.783596007375e+000  9.000000000000e+000  8.972921855778e-003
  9.816960243537e+000  4.000000000000e+000  3.193315363188e-003
  1.085032447970e+001  5.000000000000e+000  3.268083321087e-003
  1.188368871586e+001  4.000000000000e+000  2.179819807113e-003
  1.291705295202e+001  2.000000000000e+000  9.225889801961e-004
  1.395041718818e+001  7.000000000000e+000  2.768610257755e-003
  1.498378142435e+001  6.000000000000e+000  2.057183352038e-003
  1.601714566051e+001  2.000000000000e+000  6.001306958557e-004
  1.705050989667e+001  5.000000000000e+000  1.324033756769e-003
  1.808387413283e+001  3.000000000000e+000  7.062473858193e-004
