  6.891041537205e+000 -4.153967327051e+000 -2.796816549215e+000 -2.103692610097e+000  1.112943007148e+001 -1.137630066952e+001 -1.652229648778e+000  3.030926913008e-001 -1.791607260533e+001  8.608892273142e+000  1.811510845041e+001 -1.090451229580e+001 -1.130111217849e+001  1.572053955499e+001  1.634368854556e+001  1.691029623855e+000 -1.504828930431e+001 -7.804546364478e+000 -1.346208806000e+001 -1.182845127556e+001 -1.130012452378e+001 -1.214090351882e+001 -1.440738080833e+000  1.241999281242e+001 -1.241057677935e+001  9.301549677372e+000  1.597705002175e+000  1.875100877563e+000  8.924387104479e+000  1.401221295246e+001 -6.035333311988e+000 -1.906187019183e+001  9.839411604698e+000  1.603657912046e+001 -3.512959607248e+000  7.672848166117e+000  1.236212604844e+000 -4.735160761529e+000  4.355214627868e+000  1.597255504323e+000 -3.663981148049e+000  7.738043442550e-001  2.622078748846e-002 -1.128958969469e+001  1.267376380393e+001  1.017269221328e+000  1.054184847227e+001 -1.170985129243e+001  6.413437477849e+000 -5.083135415804e+000  1.462244026965e+000 -2.522009579521e+000 -1.502143833697e+001 -1.594154336775e+001  8.754488874156e+000  1.867668320299e+000  1.546126121227e+001  6.511894395816e+000  8.131241006010e+000 -2.584783184209e+000  8.886729105814e+000 -3.459218572383e-002  1.234510310403e+001  2.236353764061e+000 -1.040337913180e+001  2.615500620323e+000  4.715669075034e+000 -2.020983167009e+000 -8.073806135446e+000  6.099678068272e+000 -7.119397046444e+000  8.144683046888e-001  5.388144517457e-001  3.182322674271e+000 -3.082207717193e+000 -7.041926682084e+000 -1.265476217836e+001  1.471717611779e+000 -1.596321565062e+001  3.334932820330e+000  9.343752290430e-001 -1.331383124020e+000 -2.426692348857e-003 -5.590244049237e+000  9.591408791553e+000  1.784199587370e+001  9.803173614156e+000  1.657419873225e+001 -2.654447305687e+000 -9.823405991199e+000  1.437203346082e+001  9.893038146146e-001 -1.237110953449e+001  1.243359213204e+001  1.126613651093e+001  1.687648831568e+001  1.811465710730e+000  2.901996564231e+000 -4.505329725615e+000  3.129921699740e+000
  6.891041644543e+000 -4.153967498885e+000 -2.796816500572e+000 -2.103692628591e+000  1.112942999908e+001 -1.137630066685e+001 -1.652229645582e+000  3.030926856535e-001 -1.791607250707e+001  8.608892046371e+000  1.811510829806e+001 -1.090451223153e+001 -1.130111209899e+001  1.572053944716e+001  1.634368845484e+001  1.691029570707e+000 -1.504828917349e+001 -7.804546322217e+000 -1.346208802204e+001 -1.182845119863e+001 -1.130012444365e+001 -1.214090344387e+001 -1.440738006100e+000  1.241999275669e+001 -1.241057657424e+001  9.301549636235e+000  1.597704985457e+000  1.875100873878e+000  8.924387060232e+000  1.401221277388e+001 -6.035333284140e+000 -1.906187006983e+001  9.839411539865e+000  1.603657904081e+001 -3.512959487746e+000  7.672848385758e+000  1.236212541420e+000 -4.735160680278e+000  4.355214655080e+000  1.597255465601e+000 -3.663981056204e+000  7.738043316354e-001  2.622082942850e-002 -1.128958964039e+001  1.267376371283e+001  1.017269206050e+000  1.054184839799e+001 -1.170985135779e+001  6.413437430674e+000 -5.083135176144e+000  1.462243999648e+000 -2.522009528919e+000 -1.502143819340e+001 -1.594154324649e+001  8.754488496125e+000  1.867668397531e+000  1.546126110869e+001  6.511894359780e+000  8.131240943761e+000 -2.584783088330e+000  8.886729057295e+000 -3.459217834402e-002  1.234510302336e+001  2.236353777143e+000 -1.040337906985e+001  2.615500631315e+000  4.715668998693e+000 -2.020983150770e+000 -8.073806082294e+000  6.099678014005e+000 -7.119396957647e+000  8.144682858105e-001  5.388144366760e-001  3.182322519921e+000 -3.082207715296e+000 -7.041926638255e+000 -1.265476211531e+001  1.471717607158e+000 -1.596321551435e+001  3.334932816353e+000  9.343752334775e-001 -1.331383171568e+000 -2.426686935926e-003 -5.590244013324e+000  9.591408730917e+000  1.784199578627e+001  9.803173548660e+000  1.657419861981e+001 -2.654447276644e+000 -9.823405939262e+000  1.437203337025e+001  9.893037868263e-001 -1.237110938814e+001  1.243359215362e+001  1.126613646883e+001  1.687648822231e+001  1.811465702215e+000  2.901996536081e+000 -4.505329681636e+000  3.129921704775e+000
  6.891041966556e+000 -4.153968014389e+000 -2.796816354642e+000 -2.103692684073e+000  1.112942978190e+001 -1.137630065882e+001 -1.652229635993e+000  3.030926687117e-001 -1.791607221232e+001  8.608891366057e+000  1.811510784101e+001 -1.090451203871e+001 -1.130111186048e+001  1.572053912367e+001  1.634368818267e+001  1.691029411263e+000 -1.504828878106e+001 -7.804546195433e+000 -1.346208790816e+001 -1.182845096784e+001 -1.130012420326e+001 -1.214090321904e+001 -1.440737781900e+000  1.241999258947e+001 -1.241057595890e+001  9.301549512821e+000  1.597704935301e+000  1.875100862824e+000  8.924386927491e+000  1.401221223815e+001 -6.035333200594e+000 -1.906186970382e+001  9.839411345365e+000  1.603657880185e+001 -3.512959129242e+000  7.672849044681e+000  1.236212351149e+000 -4.735160436526e+000  4.355214736716e+000  1.597255349434e+000 -3.663980780671e+000  7.738042937769e-001  2.622095524860e-002 -1.128958947748e+001  1.267376343953e+001  1.017269160216e+000  1.054184817514e+001 -1.170985155389e+001  6.413437289148e+000 -5.083134457163e+000  1.462243917697e+000 -2.522009377113e+000 -1.502143776268e+001 -1.594154288272e+001  8.754487362029e+000  1.867668629226e+000  1.546126079794e+001  6.511894251671e+000  8.131240757014e+000 -2.584782800695e+000  8.886728911737e+000 -3.459215620460e-002  1.234510278135e+001  2.236353816390e+000 -1.040337888400e+001  2.615500664291e+000  4.715668769669e+000 -2.020983102052e+000 -8.073805922839e+000  6.099677851205e+000 -7.119396691258e+000  8.144682291758e-001  5.388143914668e-001  3.182322056871e+000 -3.082207709604e+000 -7.041926506769e+000 -1.265476192618e+001  1.471717593295e+000 -1.596321510554e+001  3.334932804420e+000  9.343752467811e-001 -1.331383314210e+000 -2.426670697134e-003 -5.590243905587e+000  9.591408549007e+000  1.784199552399e+001  9.803173352175e+000  1.657419828247e+001 -2.654447189514e+000 -9.823405783452e+000  1.437203309857e+001  9.893037034614e-001 -1.237110894910e+001  1.243359221839e+001  1.126613634254e+001  1.687648794221e+001  1.811465676672e+000  2.901996451632e+000 -4.505329549701e+000  3.129921719879e+000
  6.891042503246e+000 -4.153968873564e+000 -2.796816111426e+000 -2.103692776543e+000  1.112942941994e+001 -1.137630064544e+001 -1.652229620012e+000  3.030926404754e-001 -1.791607172105e+001  8.608890232202e+000  1.811510707927e+001 -1.090451171736e+001 -1.130111146296e+001  1.572053858453e+001  1.634368772906e+001  1.691029145523e+000 -1.504828812700e+001 -7.804545984127e+000 -1.346208771836e+001 -1.182845058318e+001 -1.130012380261e+001 -1.214090284432e+001 -1.440737408234e+000  1.241999231078e+001 -1.241057493334e+001  9.301549307132e+000  1.597704851709e+000  1.875100844400e+000  8.924386706256e+000  1.401221134525e+001 -6.035333061351e+000 -1.906186909381e+001  9.839411021199e+000  1.603657840358e+001 -3.512958531735e+000  7.672850142889e+000  1.236212034031e+000 -4.735160030271e+000  4.355214872776e+000  1.597255155822e+000 -3.663980321447e+000  7.738042306793e-001  2.622116494878e-002 -1.128958920595e+001  1.267376298403e+001  1.017269083826e+000  1.054184780373e+001 -1.170985188072e+001  6.413437053272e+000 -5.083133258861e+000  1.462243781112e+000 -2.522009124104e+000 -1.502143704480e+001 -1.594154227644e+001  8.754485471867e+000  1.867669015386e+000  1.546126028002e+001  6.511894071489e+000  8.131240445768e+000 -2.584782321303e+000  8.886728669140e+000 -3.459211930557e-002  1.234510237801e+001  2.236353881800e+000 -1.040337857425e+001  2.615500719250e+000  4.715668387962e+000 -2.020983020856e+000 -8.073805657080e+000  6.099677579872e+000 -7.119396247276e+000  8.144681347844e-001  5.388143161182e-001  3.182321285121e+000 -3.082207700118e+000 -7.041926287624e+000 -1.265476161095e+001  1.471717570189e+000 -1.596321442418e+001  3.334932784532e+000  9.343752689538e-001 -1.331383551947e+000 -2.426643632479e-003 -5.590243726026e+000  9.591408245824e+000  1.784199508686e+001  9.803173024699e+000  1.657419772025e+001 -2.654447044299e+000 -9.823405523768e+000  1.437203264576e+001  9.893035645199e-001 -1.237110821735e+001  1.243359232633e+001  1.126613613206e+001  1.687648747539e+001  1.811465634099e+000  2.901996310885e+000 -4.505329329808e+000  3.129921745054e+000
  6.891043254612e+000 -4.153970076412e+000 -2.796815770924e+000 -2.103692906002e+000  1.112942891318e+001 -1.137630062672e+001 -1.652229597638e+000  3.030926009445e-001 -1.791607103328e+001  8.608888644803e+000  1.811510601284e+001 -1.090451126746e+001 -1.130111090644e+001  1.572053782972e+001  1.634368709400e+001  1.691028773487e+000 -1.504828721132e+001 -7.804545688298e+000 -1.346208745265e+001 -1.182845004466e+001 -1.130012324170e+001 -1.214090231970e+001 -1.440736885101e+000  1.241999192062e+001 -1.241057349755e+001  9.301549019167e+000  1.597704734680e+000  1.875100818607e+000  8.924386396527e+000  1.401221009520e+001 -6.035332866410e+000 -1.906186823979e+001  9.839410567367e+000  1.603657784600e+001 -3.512957695224e+000  7.672851680384e+000  1.236211590066e+000 -4.735159461514e+000  4.355215063259e+000  1.597254884765e+000 -3.663979678535e+000  7.738041423426e-001  2.622145852904e-002 -1.128958882583e+001  1.267376234632e+001  1.017268976880e+000  1.054184728376e+001 -1.170985233828e+001  6.413436723045e+000 -5.083131581236e+000  1.462243589893e+000 -2.522008769892e+000 -1.502143603978e+001 -1.594154142764e+001  8.754482825636e+000  1.867669556009e+000  1.546125955494e+001  6.511893819235e+000  8.131240010025e+000 -2.584781650154e+000  8.886728329505e+000 -3.459206764693e-002  1.234510181332e+001  2.236353973375e+000 -1.040337814059e+001  2.615500796194e+000  4.715667853572e+000 -2.020982907182e+000 -8.073805285017e+000  6.099677200006e+000 -7.119395625701e+000  8.144680026366e-001  5.388142106302e-001  3.182320204670e+000 -3.082207686838e+000 -7.041925980821e+000 -1.265476116963e+001  1.471717537841e+000 -1.596321347029e+001  3.334932756689e+000  9.343752999956e-001 -1.331383884779e+000 -2.426605741958e-003 -5.590243474639e+000  9.591407821368e+000  1.784199447487e+001  9.803172566232e+000  1.657419693314e+001 -2.654446840997e+000 -9.823405160211e+000  1.437203201183e+001  9.893033700018e-001 -1.237110719292e+001  1.243359247744e+001  1.126613583739e+001  1.687648682183e+001  1.811465574497e+000  2.901996113838e+000 -4.505329021959e+000  3.129921780298e+000
  6.891044220656e+000 -4.153971622934e+000 -2.796815333135e+000 -2.103693072449e+000  1.112942826164e+001 -1.137630060264e+001 -1.652229568871e+000  3.030925501191e-001 -1.791607014901e+001  8.608886603860e+000  1.811510464171e+001 -1.090451068903e+001 -1.130111019091e+001  1.572053685925e+001  1.634368627750e+001  1.691028295155e+000 -1.504828603402e+001 -7.804545307947e+000 -1.346208711102e+001 -1.182844935228e+001 -1.130012252053e+001 -1.214090164520e+001 -1.440736212502e+000  1.241999141898e+001 -1.241057165154e+001  9.301548648926e+000  1.597704584214e+000  1.875100785444e+000  8.924385998304e+000  1.401220848799e+001 -6.035332615773e+000 -1.906186714177e+001  9.839409983868e+000  1.603657712912e+001 -3.512956619710e+000  7.672853657172e+000  1.236211019253e+000 -4.735158730255e+000  4.355215308168e+000  1.597254536264e+000 -3.663978851933e+000  7.738040287669e-001  2.622183598942e-002 -1.128958833709e+001  1.267376152642e+001  1.017268839378e+000  1.054184661522e+001 -1.170985292657e+001  6.413436298468e+000 -5.083129424284e+000  1.462243344040e+000 -2.522008314475e+000 -1.502143474761e+001 -1.594154033633e+001  8.754479423330e+000  1.867670251098e+000  1.546125862270e+001  6.511893494908e+000  8.131239449783e+000 -2.584780787248e+000  8.886727892830e+000 -3.459200122868e-002  1.234510108730e+001  2.236354091114e+000 -1.040337758304e+001  2.615500895121e+000  4.715667166499e+000 -2.020982761029e+000 -8.073804806650e+000  6.099676711607e+000 -7.119394826533e+000  8.144678327322e-001  5.388140750027e-001  3.182318815518e+000 -3.082207669763e+000 -7.041925586360e+000 -1.265476060222e+001  1.471717496251e+000 -1.596321224385e+001  3.334932720891e+000  9.343753399064e-001 -1.331384312707e+000 -2.426557025569e-003 -5.590243151428e+000  9.591407275639e+000  1.784199368802e+001  9.803171976775e+000  1.657419592113e+001 -2.654446579609e+000 -9.823404692781e+000  1.437203119678e+001  9.893031199071e-001 -1.237110587578e+001  1.243359267173e+001  1.126613545853e+001  1.687648598153e+001  1.811465497866e+000  2.901995860492e+000 -4.505328626153e+000  3.129921825612e+000
  6.891045401378e+000 -4.153973513136e+000 -2.796814798060e+000 -2.103693275884e+000  1.112942746531e+001 -1.137630057321e+001 -1.652229533712e+000  3.030924879991e-001 -1.791606906823e+001  8.608884109371e+000  1.811510296588e+001 -1.090450998205e+001 -1.130110931638e+001  1.572053567312e+001  1.634368527955e+001  1.691027710527e+000 -1.504828459509e+001 -7.804544843074e+000 -1.346208669347e+001 -1.182844850604e+001 -1.130012163910e+001 -1.214090082081e+001 -1.440735390436e+000  1.241999080586e+001 -1.241056939529e+001  9.301548196409e+000  1.597704400310e+000  1.875100744911e+000  8.924385511587e+000  1.401220652361e+001 -6.035332309438e+000 -1.906186579974e+001  9.839409270703e+000  1.603657625293e+001 -3.512955305193e+000  7.672856073258e+000  1.236210321593e+000 -4.735157836494e+000  4.355215607501e+000  1.597254110317e+000 -3.663977841641e+000  7.738038899522e-001  2.622229732992e-002 -1.128958773974e+001  1.267376052432e+001  1.017268671320e+000  1.054184579811e+001 -1.170985364560e+001  6.413435779541e+000 -5.083126788003e+000  1.462243043553e+000 -2.522007757856e+000 -1.502143316829e+001 -1.594153900251e+001  8.754475264943e+000  1.867671100652e+000  1.546125748328e+001  6.511893098508e+000  8.131238765043e+000 -2.584779732584e+000  8.886727359118e+000 -3.459192005081e-002  1.234510019993e+001  2.236354235017e+000 -1.040337690159e+001  2.615501016032e+000  4.715666326741e+000 -2.020982582398e+000 -8.073804221980e+000  6.099676114674e+000 -7.119393849771e+000  8.144676250713e-001  5.388139092358e-001  3.182317117664e+000 -3.082207648894e+000 -7.041925104241e+000 -1.265475990871e+001  1.471717445419e+000 -1.596321074488e+001  3.334932677138e+000  9.343753886863e-001 -1.331384835731e+000 -2.426497483306e-003 -5.590242756393e+000  9.591406608636e+000  1.784199272632e+001  9.803171256327e+000  1.657419468424e+001 -2.654446260135e+000 -9.823404121477e+000  1.437203020060e+001  9.893028142358e-001 -1.237110426595e+001  1.243359290920e+001  1.126613499547e+001  1.687648495451e+001  1.811465404206e+000  2.901995550846e+000 -4.505328142389e+000  3.129921880996e+000
  6.891046796781e+000 -4.153975747021e+000 -2.796814165699e+000 -2.103693516308e+000  1.112942652419e+001 -1.137630053844e+001 -1.652229492160e+000  3.030924145847e-001 -1.791606779095e+001  8.608881161335e+000  1.811510098535e+001 -1.090450914653e+001 -1.130110828284e+001  1.572053427134e+001  1.634368410016e+001  1.691027019602e+000 -1.504828289454e+001 -7.804544293678e+000 -1.346208620000e+001 -1.182844750594e+001 -1.130012059741e+001 -1.214089984653e+001 -1.440734418904e+000  1.241999008127e+001 -1.241056672881e+001  9.301547661617e+000  1.597704182970e+000  1.875100697009e+000  8.924384936375e+000  1.401220420208e+001 -6.035331947407e+000 -1.906186421371e+001  9.839408427871e+000  1.603657521743e+001 -3.512953751672e+000  7.672858928649e+000  1.236209497085e+000 -4.735156780231e+000  4.355215961261e+000  1.597253606926e+000 -3.663976647660e+000  7.738037258984e-001  2.622284255057e-002 -1.128958703379e+001  1.267375934001e+001  1.017268472706e+000  1.054184483245e+001 -1.170985449537e+001  6.413435166263e+000 -5.083123672388e+000  1.462242688432e+000 -2.522007100032e+000 -1.502143130182e+001 -1.594153742617e+001  8.754470350469e+000  1.867672104672e+000  1.546125613670e+001  6.511892630036e+000  8.131237955804e+000 -2.584778486161e+000  8.886726728366e+000 -3.459182411333e-002  1.234509915123e+001  2.236354405084e+000 -1.040337609623e+001  2.615501158928e+000  4.715665334299e+000 -2.020982371289e+000 -8.073803531006e+000  6.099675409208e+000 -7.119392695417e+000  8.144673796537e-001  5.388137133294e-001  3.182315111108e+000 -3.082207624231e+000 -7.041924534464e+000 -1.265475908912e+001  1.471717385344e+000 -1.596320897336e+001  3.334932625430e+000  9.343754463352e-001 -1.331385453850e+000 -2.426427115166e-003 -5.590242289532e+000  9.591405820361e+000  1.784199158977e+001  9.803170404889e+000  1.657419322246e+001 -2.654445882574e+000 -9.823403446300e+000  1.437202902330e+001  9.893024529878e-001 -1.237110236342e+001  1.243359318984e+001  1.126613444823e+001  1.687648374075e+001  1.811465293517e+000  2.901995184902e+000 -4.505327570669e+000  3.129921946450e+000
  6.891048406865e+000 -4.153978324594e+000 -2.796813436051e+000 -2.103693793720e+000  1.112942543829e+001 -1.137630049832e+001 -1.652229444215e+000  3.030923298757e-001 -1.791606631716e+001  8.608877759750e+000  1.811509870013e+001 -1.090450818247e+001 -1.130110709029e+001  1.572053265389e+001  1.634368273932e+001  1.691026222382e+000 -1.504828093237e+001 -7.804543659759e+000 -1.346208563061e+001 -1.182844635197e+001 -1.130011939547e+001 -1.214089872236e+001 -1.440733297904e+000  1.241998924520e+001 -1.241056365210e+001  9.301547044549e+000  1.597703932193e+000  1.875100641737e+000  8.924384272670e+000  1.401220152339e+001 -6.035331529678e+000 -1.906186238367e+001  9.839407455373e+000  1.603657402263e+001 -3.512951959148e+000  7.672862223354e+000  1.236208545730e+000 -4.735155561465e+000  4.355216369446e+000  1.597253026089e+000 -3.663975269990e+000  7.738035366056e-001  2.622347165142e-002 -1.128958621922e+001  1.267375797351e+001  1.017268243536e+000  1.054184371821e+001 -1.170985547588e+001  6.413434458634e+000 -5.083120077433e+000  1.462242278676e+000 -2.522006341005e+000 -1.502142914819e+001 -1.594153560732e+001  8.754464679898e+000  1.867673263160e+000  1.546125458296e+001  6.511892089491e+000  8.131237022068e+000 -2.584777047979e+000  8.886726000576e+000 -3.459171341623e-002  1.234509794119e+001  2.236354601315e+000 -1.040337516697e+001  2.615501323807e+000  4.715664189171e+000 -2.020982127701e+000 -8.073802733728e+000  6.099674595208e+000 -7.119391363470e+000  8.144670964796e-001  5.388134872836e-001  3.182312795847e+000 -3.082207595773e+000 -7.041923877029e+000 -1.265475814344e+001  1.471717316027e+000 -1.596320692930e+001  3.334932565767e+000  9.343755128532e-001 -1.331386167066e+000 -2.426345921142e-003 -5.590241750847e+000  9.591404910812e+000  1.784199027836e+001  9.803169422460e+000  1.657419153579e+001 -2.654445446927e+000 -9.823402667249e+000  1.437202766488e+001  9.893020361630e-001 -1.237110016819e+001  1.243359351366e+001  1.126613381679e+001  1.687648234027e+001  1.811465165799e+000  2.901994762658e+000 -4.505326910991e+000  3.129922021973e+000
  6.891050231633e+000 -4.153981245861e+000 -2.796812609117e+000 -2.103694108122e+000  1.112942420760e+001 -1.137630045284e+001 -1.652229389878e+000  3.030922338721e-001 -1.791606464687e+001  8.608873904614e+000  1.811509611022e+001 -1.090450708987e+001 -1.130110573874e+001  1.572053082079e+001  1.634368119703e+001  1.691025318865e+000 -1.504827870857e+001 -7.804542941318e+000 -1.346208498531e+001 -1.182844504414e+001 -1.130011803326e+001 -1.214089744830e+001 -1.440732027438e+000  1.241998829766e+001 -1.241056016514e+001  9.301546345205e+000  1.597703647979e+000  1.875100579096e+000  8.924383520470e+000  1.401219848754e+001 -6.035331056252e+000 -1.906186030963e+001  9.839406353208e+000  1.603657266852e+001 -3.512949927619e+000  7.672865957383e+000  1.236207467528e+000 -4.735154180197e+000  4.355216832059e+000  1.597252367808e+000 -3.663973708630e+000  7.738033220736e-001  2.622418463249e-002 -1.128958529605e+001  1.267375642480e+001  1.017267983810e+000  1.054184245542e+001 -1.170985658714e+001  6.413433656655e+000 -5.083116003134e+000  1.462241814287e+000 -2.522005480774e+000 -1.502142670742e+001 -1.594153354595e+001  8.754458253220e+000  1.867674576117e+000  1.546125282205e+001  6.511891476873e+000  8.131235963833e+000 -2.584775418038e+000  8.886725175747e+000 -3.459158795951e-002  1.234509656981e+001  2.236354823711e+000 -1.040337411382e+001  2.615501510670e+000  4.715662891357e+000 -2.020981851634e+000 -8.073801830146e+000  6.099673672675e+000 -7.119389853930e+000  8.144667755488e-001  5.388132310983e-001  3.182310171882e+000 -3.082207563521e+000 -7.041923131937e+000 -1.265475707166e+001  1.471717237468e+000 -1.596320461270e+001  3.334932498149e+000  9.343755882404e-001 -1.331386975380e+000 -2.426253901226e-003 -5.590241140337e+000  9.591403879989e+000  1.784198879210e+001  9.803168309041e+000  1.657418962423e+001 -2.654444953195e+000 -9.823401784326e+000  1.437202612533e+001  9.893015637616e-001 -1.237109768027e+001  1.243359388066e+001  1.126613310116e+001  1.687648075305e+001  1.811465021052e+000  2.901994284116e+000 -4.505326163356e+000  3.129922107567e+000
