  9.956151485445e+000  1.881327307319e+001  5.593494007412e+000  1.026820182272e+001 -8.543925242105e+000  6.274210461337e+000  1.406542349595e+001 -1.614786901457e+001 -8.644107260464e-001 -5.255424999390e+000 -8.904358995831e+000 -1.754170426975e+001  7.305042477748e+000 -9.604875208958e+000 -1.118092247669e+001 -6.664545778471e+000 -9.217446245421e-001  3.058554736656e+000 -9.672312197742e-001  6.837496426108e+000  1.597247887046e+001 -1.238114455756e+001  7.008878314755e+000  8.239528158080e+000 -1.390704237789e+001  5.115105712930e+000  1.434612189156e+001  1.519210410518e+000  1.199863321434e+001  1.626387930612e+001  9.529356825992e+000  1.699564898311e+001 -1.015516679753e+001  9.493047471347e+000 -2.536010723053e+000  1.701902726226e+001 -3.391490446010e-001  1.362308857033e+001  1.536452898522e+001 -2.957825110959e+000 -7.588113791000e+000 -5.962704362741e+000 -1.567606976199e+001 -1.972665498035e+000 -3.253351378043e+000 -1.677858873901e+001  9.164517101421e+000  1.353464824357e+001  8.389498884161e+000 -1.384972965350e+001 -8.108269710669e+000 -1.165810267877e+001 -1.326410380324e+001  6.276601622039e+000  1.190044890836e+001  6.867325955783e+000  1.494403848962e+001 -2.679835909144e+000  1.769831002407e+000  1.835987511022e+000  8.805838866906e+000  1.538839032279e+001  1.418332062756e+001  7.867615962223e+000  3.470248033797e+000  2.752891878269e+000  9.457864625016e+000  3.548978970556e+000 -1.501751935774e+001 -3.080716955000e+000  1.058103512129e+001  1.642208274563e+001  2.466269725255e+000 -8.831867877517e+000 -1.549038262009e+001  6.314387918533e+000 -9.327060792836e-001  6.061602719614e+000 -2.651340072710e+000  7.700857239664e+000 -2.737599162007e+000 -1.210699531815e+001 -1.445468576620e+001 -1.382871019290e+001 -8.681957932340e+000 -4.763203906985e-001  2.951763401802e+000  1.199957249909e+001 -9.417131771169e+000 -1.848973112689e+001  6.609093697995e+000 -1.134229524080e+000 -3.793195916202e+000 -1.308649627761e+001 -1.127906017474e+001  3.147068743627e+000  8.850856016499e+000  9.842735788939e+000 -1.394388312621e+001  1.457536802945e+001
  9.955878741537e+000  1.881299161268e+001  5.593401150402e+000  1.026785831389e+001 -8.543868791757e+000  6.274149392324e+000  1.406528933492e+001 -1.614767296124e+001 -8.643824490754e-001 -5.255293953960e+000 -8.904411469290e+000 -1.754129952629e+001  7.304950257762e+000 -9.604695737046e+000 -1.118077679486e+001 -6.664448721249e+000 -9.217307369581e-001  3.058693920426e+000 -9.672010985941e-001  6.837582576021e+000  1.597222705555e+001 -1.238092297140e+001  7.008815978750e+000  8.239593519540e+000 -1.390623815702e+001  5.115044153953e+000  1.434587065042e+001  1.519293509675e+000  1.199855019501e+001  1.626359848731e+001  9.529771156171e+000  1.699537442992e+001 -1.015494120679e+001  9.492853503064e+000 -2.535431087909e+000  1.701878803936e+001 -3.390681916594e-001  1.362292773054e+001  1.536427825655e+001 -2.957810677105e+000 -7.587954152944e+000 -5.962570070949e+000 -1.567594037521e+001 -1.972915576399e+000 -3.253308871261e+000 -1.677831436100e+001  9.164408140640e+000  1.353449506056e+001  8.389407862665e+000 -1.384949956994e+001 -8.108071205155e+000 -1.165795209965e+001 -1.326394070131e+001  6.276538666745e+000  1.190027922438e+001  6.867239057380e+000  1.494346517997e+001 -2.679702225203e+000  1.769921660009e+000  1.835921848240e+000  8.805768197655e+000  1.538821195994e+001  1.418347989595e+001  7.867518089108e+000  3.470164794603e+000  2.753023111342e+000  9.457708750528e+000  3.549052621341e+000 -1.501734862740e+001 -3.080657320378e+000  1.058039760508e+001  1.642169311298e+001  2.466192741282e+000 -8.831759581778e+000 -1.549012504064e+001  6.314368025407e+000 -9.327565771436e-001  6.061500229016e+000 -2.651216200005e+000  7.700810238627e+000 -2.737555828139e+000 -1.210683318853e+001 -1.445450281862e+001 -1.382853708193e+001 -8.681926096989e+000 -4.762523158431e-001  2.951797198233e+000  1.199941610974e+001 -9.417017475713e+000 -1.848939087591e+001  6.609059918638e+000 -1.134084029800e+000 -3.793052786822e+000 -1.308659067944e+001 -1.127932454871e+001  3.146952392937e+000  8.850722890446e+000  9.842587829957e+000 -1.394363456617e+001  1.457517486630e+001
  9.955060617432e+000  1.881214721387e+001  5.593122566758e+000  1.026682767678e+001 -8.543699441666e+000  6.273966183586e+000  1.406488685290e+001 -1.614708479020e+001 -8.642976158380e-001 -5.254900797205e+000 -8.904568997540e+000 -1.754008525267e+001  7.304673591983e+000 -9.604157312846e+000 -1.118033974575e+001 -6.664157542268e+000 -9.216890848777e-001  3.059111533718e+000 -9.671107177815e-001  6.837841051349e+000  1.597147159306e+001 -1.238025818357e+001  7.008628968736e+000  8.239789636856e+000 -1.390382233652e+001  5.114859474467e+000  1.434511691825e+001  1.519542824528e+000  1.199830112814e+001  1.626275600475e+001  9.531015613639e+000  1.699455075087e+001 -1.015426432393e+001  9.492271580730e+000 -2.533689025337e+000  1.701807035528e+001 -3.388256308366e-001  1.362244523122e+001  1.536352605602e+001 -2.957767391898e+000 -7.587475224999e+000 -5.962167187584e+000 -1.567555220888e+001 -1.973667815117e+000 -3.253181330684e+000 -1.677749120493e+001  9.164081255049e+000  1.353403548053e+001  8.389134792998e+000 -1.384880930444e+001 -8.107475669180e+000 -1.165750034924e+001 -1.326345139229e+001  6.276349801543e+000  1.189977016091e+001  6.866978362466e+000  1.494174405766e+001 -2.679301161622e+000  1.770193649916e+000  1.835724833371e+000  8.805556211172e+000  1.538767685524e+001  1.418395900589e+001  7.867224466016e+000  3.469915070918e+000  2.753417064447e+000  9.457241102792e+000  3.549273578097e+000 -1.501683643092e+001 -3.080478415836e+000  1.057848371282e+001  1.642052414327e+001  2.465961770427e+000 -8.831434690251e+000 -1.548935228920e+001  6.314308344496e+000 -9.329081037219e-001  6.061192749011e+000 -2.650844540268e+000  7.700669229554e+000 -2.737425839979e+000 -1.210634680857e+001 -1.445395396732e+001 -1.382801773786e+001 -8.681830597158e+000 -4.760480847358e-001  2.951898591761e+000  1.199894692641e+001 -9.416674583335e+000 -1.848837009371e+001  6.608958579990e+000 -1.133647513312e+000 -3.792623376723e+000 -1.308687643746e+001 -1.128011788189e+001  3.146603084703e+000  8.850323494413e+000  9.842143939963e+000 -1.394288886498e+001  1.457459536479e+001
  9.953697436311e+000  1.881073982491e+001  5.592658218623e+000  1.026510957927e+001 -8.543417194690e+000  6.273660830023e+000  1.406421605313e+001 -1.614610446826e+001 -8.641562193603e-001 -5.254245467710e+000 -8.904831904730e+000 -1.753806131936e+001  7.304212462954e+000 -9.603259910960e+000 -1.117961131848e+001 -6.663672219579e+000 -9.216197004270e-001  3.059807762656e+000 -9.669600254129e-001  6.838271928800e+000  1.597021242977e+001 -1.237915010596e+001  7.008317278720e+000  8.240116608830e+000 -1.389978535984e+001  5.114551666804e+000  1.434386066882e+001  1.519958407231e+000  1.199788598710e+001  1.626135178008e+001  9.533094628400e+000  1.699317788756e+001 -1.015313581643e+001  9.491301651888e+000 -2.530774961360e+000  1.701687416396e+001 -3.384213561347e-001  1.362164113251e+001  1.536227234007e+001 -2.957695304474e+000 -7.586676965818e+000 -5.961495688682e+000 -1.567490524506e+001 -1.974928290532e+000 -3.252968695564e+000 -1.677611920480e+001  9.163536434906e+000  1.353326941053e+001  8.388679659624e+000 -1.384765881254e+001 -8.106483044424e+000 -1.165674738833e+001 -1.326263586652e+001  6.276035028471e+000  1.189892168349e+001  6.866543871959e+000  1.493887151885e+001 -2.678632683126e+000  1.770647023448e+000  1.835396386810e+000  8.805202971396e+000  1.538678496024e+001  1.418476189792e+001  7.866735081699e+000  3.469498844424e+000  2.754074502432e+000  9.456461608990e+000  3.549641853937e+000 -1.501598275200e+001 -3.080180239351e+000  1.057528939009e+001  1.641857562111e+001  2.465576755882e+000 -8.830893190001e+000 -1.548806432649e+001  6.314208871200e+000 -9.331607580935e-001  6.060680254962e+000 -2.650224968538e+000  7.700434194559e+000 -2.737209237890e+000 -1.210553620510e+001 -1.445303918662e+001 -1.382715212712e+001 -8.681671451524e+000 -4.757076777505e-001  2.952067595096e+000  1.199816490317e+001 -9.416103076000e+000 -1.848666869258e+001  6.608789680322e+000 -1.132919873630e+000 -3.791907619977e+000 -1.308736128149e+001 -1.128144080830e+001  3.146020047078e+000  8.849657774775e+000  9.841404079806e+000 -1.394164595950e+001  1.457362948865e+001
  9.951789737900e+000  1.880876935940e+001  5.592008042836e+000  1.026270346684e+001 -8.543022055579e+000  6.273233323138e+000  1.406327694105e+001 -1.614473194012e+001 -8.639582480143e-001 -5.253327863082e+000 -8.905200732861e+000 -1.753522751088e+001  7.303566841576e+000 -9.602003489055e+000 -1.117859149497e+001 -6.662992716594e+000 -9.215226375252e-001  3.060782918036e+000 -9.667489345928e-001  6.838875336037e+000  1.596844947689e+001 -1.237759859142e+001  7.007880898721e+000  8.240574600099e+000 -1.389411101760e+001  5.114120718160e+000  1.434210185839e+001  1.520540344772e+000  1.199730472750e+001  1.625938568261e+001  9.536015682481e+000  1.699125574258e+001 -1.015155512843e+001  9.489943629076e+000 -2.526672589348e+000  1.701519938857e+001 -3.378553575413e-001  1.362051553490e+001  1.536051703613e+001 -2.957594496950e+000 -7.585559306456e+000 -5.960555534289e+000 -1.567399945381e+001 -1.976707353264e+000 -3.252670864455e+000 -1.677419825053e+001  9.162773663992e+000  1.353219669562e+001  8.388042436643e+000 -1.384604802008e+001 -8.105093233632e+000 -1.165569315160e+001 -1.326149410790e+001  6.275594350943e+000  1.189773373460e+001  6.865935587483e+000  1.493484147663e+001 -2.677696730906e+000  1.771281866192e+000  1.834936375731e+000  8.804708585338e+000  1.538553619421e+001  1.418589522792e+001  7.866049917411e+000  3.468916084573e+000  2.754996710789e+000  9.455370147748e+000  3.550157470398e+000 -1.501478756344e+001 -3.079762787565e+000  1.057080779969e+001  1.641584718713e+001  2.465037602947e+000 -8.830135059470e+000 -1.548626108703e+001  6.314069597849e+000 -9.335147056492e-001  6.059962705807e+000 -2.649357276236e+000  7.700105103818e+000 -2.736906089288e+000 -1.210440142311e+001 -1.445175843373e+001 -1.382594019379e+001 -8.681448691237e+000 -4.752310621683e-001  2.952304229439e+000  1.199706996349e+001 -9.415302923643e+000 -1.848428652625e+001  6.608553216754e+000 -1.131900942294e+000 -3.790905406580e+000 -1.308805834027e+001 -1.128329438492e+001  3.145201982368e+000  8.848725642144e+000  9.840368184207e+000 -1.393990574441e+001  1.457227717746e+001
  9.949338280077e+000  1.880623569630e+001  5.591171950839e+000  1.025960856110e+001 -8.542514030947e+000  6.272683651026e+000  1.406206952432e+001 -1.614296712832e+001 -8.637036855124e-001 -5.252147839886e+000 -8.905676244450e+000 -1.753158352648e+001  7.302736687104e+000 -9.600387987846e+000 -1.117728024984e+001 -6.662118982074e+000 -9.213979724566e-001  3.062037436210e+000 -9.664773229130e-001  6.839651451386e+000  1.596618261014e+001 -1.237560343337e+001  7.007319814777e+000  8.241163841085e+000 -1.388677600556e+001  5.113566610576e+000  1.433984042566e+001  1.521288759053e+000  1.199655728718e+001  1.625685752928e+001  9.539789462618e+000  1.698878417953e+001 -1.014952147815e+001  9.488197389777e+000 -2.521358315486e+000  1.701304592152e+001 -3.371276210063e-001  1.361906857959e+001  1.535826004251e+001 -2.957465084771e+000 -7.584122150319e+000 -5.959346668455e+000 -1.567283479323e+001 -1.979019982149e+000 -3.252287694913e+000 -1.677172818792e+001  9.161792919630e+000  1.353081711892e+001  8.387223087797e+000 -1.384397682325e+001 -8.103306100529e+000 -1.165433754750e+001 -1.326002609395e+001  6.275027773758e+000  1.189620623372e+001  6.865153511507e+000  1.492964523627e+001 -2.676493222598e+000  1.772098298081e+000  1.834344613870e+000  8.804073203740e+000  1.538393044410e+001  1.418736850425e+001  7.865168946904e+000  3.468166748556e+000  2.756185512114e+000  9.453966549123e+000  3.550820456959e+000 -1.501325082712e+001 -3.079226055811e+000  1.056502919824e+001  1.641233833743e+001  2.464344179005e+000 -8.829160268477e+000 -1.548394247912e+001  6.313890513700e+000 -9.339701784954e-001  6.059040044046e+000 -2.648241170692e+000  7.699681915553e+000 -2.736516488841e+000 -1.210294252617e+001 -1.445011164871e+001 -1.382438185953e+001 -8.681162359962e+000 -4.746181921638e-001  2.952608524506e+000  1.199566200016e+001 -9.414274084166e+000 -1.848122338985e+001  6.608249185257e+000 -1.130590483136e+000 -3.789616582247e+000 -1.308898652695e+001 -1.128568009220e+001  3.144147049739e+000  8.847526971352e+000  9.839036161719e+000 -1.393766807225e+001  1.457053834658e+001
  9.946344041061e+000  1.880313867997e+001  5.590149828540e+000  1.025582385770e+001 -8.541893129247e+000  6.272011798374e+000  1.406059381290e+001 -1.614080993323e+001 -8.633925108982e-001 -5.250705213566e+000 -8.906259426286e+000 -1.752712898097e+001  7.301721947141e+000 -9.598413331088e+000 -1.117567755048e+001 -6.661050950117e+000 -9.212458046869e-001  3.063571880337e+000 -9.661450316788e-001  6.840600503433e+000  1.596341166959e+001 -1.237316436522e+001  7.006634008963e+000  8.241884627919e+000 -1.387774926448e+001  5.112889320886e+000  1.433707629173e+001  1.522203807023e+000  1.199564358616e+001  1.625376708449e+001  9.544430083736e+000  1.698576302295e+001 -1.014703385426e+001  9.486062776352e+000 -2.514800418809e+000  1.701041362441e+001 -3.362381284091e-001  1.361730044900e+001  1.535550122846e+001 -2.957307217194e+000 -7.582365373094e+000 -5.957869019212e+000 -1.567141120940e+001 -1.981886320352e+000 -3.251819003069e+000 -1.676870881859e+001  9.160594172724e+000  1.352913040165e+001  8.386221566460e+000 -1.384144508849e+001 -8.101121469698e+000 -1.165268045822e+001 -1.325823179581e+001  6.274335303133e+000  1.189433907725e+001  6.864197647545e+000  1.492327131190e+001 -2.675022052249e+000  1.773096473507e+000  1.833620861210e+000  8.803297022023e+000  1.538196756455e+001  1.418919428901e+001  7.864092136430e+000  3.467250781260e+000  2.757643289867e+000  9.452250594588e+000  3.551630850349e+000 -1.501137249398e+001 -3.078570038144e+000  1.055794075576e+001  1.640804842271e+001  2.463496313491e+000 -8.827968778220e+000 -1.548110838488e+001  6.313671604930e+000 -9.345274760174e-001  6.057912195739e+000 -2.646876274491e+000  7.699164576009e+000 -2.736040558767e+000 -1.210115959703e+001 -1.444809875445e+001 -1.382247702361e+001 -8.680812513928e+000 -4.738690087864e-001  2.952980518565e+000  1.199394087526e+001 -9.413016503425e+000 -1.847747901975e+001  6.607877580657e+000 -1.128988191964e+000 -3.788040948139e+000 -1.309017111482e+001 -1.128859983478e+001  3.142852840263e+000  8.846061601429e+000  9.837407894672e+000 -1.393493275326e+001  1.456841288717e+001
  9.942808222139e+000  1.879947812002e+001  5.588941536142e+000  1.025134812368e+001 -8.541159360724e+000  6.271217746456e+000  1.405884981916e+001 -1.613826023302e+001 -8.630246985354e-001 -5.248999758345e+000 -8.906951494338e+000 -1.752186340595e+001  7.300522557630e+000 -9.596079425555e+000 -1.117378335702e+001 -6.659788540140e+000 -9.210662579425e-001  3.065386942016e+000 -9.657518648888e-001  6.841722770473e+000  1.596013645970e+001 -1.237028105957e+001  7.005823459403e+000  8.242737322342e+000 -1.386699105458e+001  5.112088820673e+000  1.433380935999e+001  1.523285680835e+000  1.199456352672e+001  1.625011406000e+001  9.549955393895e+000  1.698219205824e+001 -1.014409101116e+001  9.483539595954e+000 -2.506957850533e+000  1.700730232803e+001 -3.351868575151e-001  1.361521136743e+001  1.535224043408e+001 -2.957121077919e+000 -7.580288822654e+000 -5.956122498552e+000 -1.566972863639e+001 -1.985332441727e+000 -3.251264563082e+000 -1.676513989983e+001  9.159177387796e+000  1.352713620315e+001  8.385037815637e+000 -1.383845265247e+001 -8.098539126415e+000 -1.165072173962e+001 -1.325611117835e+001  6.273516946734e+000  1.189213213849e+001  6.863068000416e+000  1.491570517519e+001 -2.673283090274e+000  1.774276581466e+000  1.832764823581e+000  8.802380281514e+000  1.537964737789e+001  1.419138847410e+001  7.862819444732e+000  3.466168115219e+000  2.759373020196e+000  9.450222017009e+000  3.552588693655e+000 -1.500915250396e+001 -3.077794727386e+000  1.054952630960e+001  1.640297664729e+001  2.462493797861e+000 -8.826560541272e+000 -1.547775866015e+001  6.313412854632e+000 -9.351869656092e-001  6.056579070487e+000 -2.645262124614e+000  7.698553019422e+000 -2.735478449209e+000 -1.209905273837e+001 -1.444571965668e+001 -1.382022556280e+001 -8.680399221999e+000 -4.729834399359e-001  2.953420258481e+000  1.199190642010e+001 -9.411530115220e+000 -1.847305309344e+001  6.607438396640e+000 -1.127093696142e+000 -3.786178260507e+000 -1.309164454468e+001 -1.129205594239e+001  3.141316343485e+000  8.844329335573e+000  9.835483239099e+000 -1.393169955535e+001  1.456590066614e+001
  9.938732250834e+000  1.879525379134e+001  5.587546907929e+000  1.024617989406e+001 -8.540312737360e+000  6.270301473121e+000  1.405683755792e+001 -1.613531788361e+001 -8.626002180948e-001 -5.247031207105e+000 -8.907753899870e+000 -1.751578625113e+001  7.299138442849e+000 -9.593386161016e+000 -1.117159762232e+001 -6.658331656854e+000 -9.208594815756e-001  3.067483443299e+000 -9.652975879451e-001  6.843018579833e+000  1.595635674916e+001 -1.236695312729e+001  7.004888140299e+000  8.243722351571e+000 -1.385445169333e+001  5.111165076191e+000  1.433003951609e+001  1.524534608043e+000  1.199331699326e+001  1.624589811466e+001  9.556387375930e+000  1.697807103162e+001 -1.014069146307e+001  9.480627620417e+000 -2.497778556009e+000  1.700371183223e+001 -3.339737819223e-001  1.361280160189e+001  1.534847747030e+001 -2.956906885876e+000 -7.577892318943e+000 -5.954107002401e+000 -1.566778699623e+001 -1.989391421894e+000 -3.250624106450e+000 -1.676102114452e+001  9.157542523040e+000  1.352483412101e+001  8.383671767957e+000 -1.383499932204e+001 -8.095558816448e+000 -1.164846122109e+001 -1.325366420018e+001  6.272572713712e+000  1.188958526757e+001  6.861764576560e+000  1.490692892232e+001 -2.671276183404e+000  1.775638845739e+000  1.831776152164e+000  8.801323270969e+000  1.537696967414e+001  1.419397064698e+001  7.861350823046e+000  3.464918670536e+000  2.761378312889e+000  9.447880500629e+000  3.553694035184e+000 -1.500659078592e+001 -3.076900115180e+000  1.053976604085e+001  1.639712206775e+001  2.461336385568e+000 -8.824935501585e+000 -1.547389313454e+001  6.313114242804e+000 -9.359490835730e-001  6.055040561423e+000 -2.643398171382e+000  7.697847167983e+000 -2.734830338701e+000 -1.209662207382e+001 -1.444297424388e+001 -1.381762733140e+001 -8.679922565752e+000 -4.719614003329e-001  2.953927799781e+000  1.198955843512e+001 -9.409814841276e+000 -1.846794522931e+001  6.606931625758e+000 -1.124906554085e+000 -3.784028230242e+000 -1.309344752612e+001 -1.129605117116e+001  3.139533904418e+000  8.842329941118e+000  9.833262024648e+000 -1.392796820401e+001  1.456300152613e+001
  9.934117784420e+000  1.879046543399e+001  5.585965752013e+000  1.024031746791e+001 -8.539353272812e+000  6.269262952788e+000  1.405455704663e+001 -1.613198271861e+001 -8.621190345382e-001 -5.244799251255e+000 -8.908668336831e+000 -1.750889688607e+001  7.297569515401e+000 -9.590333410216e+000 -1.116912029192e+001 -6.656680190249e+000 -9.206256522444e-001  3.069862339123e+000 -9.647819260674e-001  6.844488307012e+000  1.595207227087e+001 -1.236318011638e+001  7.003828021954e+000  8.244840208136e+000 -1.384006985117e+001  5.110118048284e+000  1.432576662773e+001  1.525950851835e+000  1.199190385236e+001  1.624111885425e+001  9.563752667012e+000  1.697339964999e+001 -1.013683347696e+001  9.477326586129e+000 -2.487197139292e+000  1.699964190591e+001 -3.325988709976e-001  1.361007146309e+001  1.534421211878e+001 -2.956664896170e+000 -7.575175653840e+000 -5.951822410581e+000 -1.566558619888e+001 -1.994104828952e+000 -3.249897321195e+000 -1.675635222092e+001  9.155689530392e+000  1.352222369115e+001  8.382123345670e+000 -1.383108487417e+001 -8.092180245799e+000 -1.164589870548e+001 -1.325089081375e+001  6.271502614756e+000  1.188669829141e+001  6.860287384428e+000  1.489692083983e+001 -2.669001154626e+000  1.777183525101e+000  1.830654442902e+000  8.800126328422e+000  1.537393421098e+001  1.419696456751e+001  7.859686215093e+000  3.463502354807e+000  2.763663462848e+000  9.445225681047e+000  3.554946927089e+000 -1.500368725760e+001 -3.075886192059e+000  1.052863605622e+001  1.639048359146e+001  2.460023792051e+000 -8.823093594487e+000 -1.546951161138e+001  6.312775746340e+000 -9.368143361945e-001  6.053296545198e+000 -2.641283777199e+000  7.697046931796e+000 -2.734096434723e+000 -1.209386774905e+001 -1.443986238732e+001 -1.381468216115e+001 -8.679382639581e+000 -4.708027914833e-001  2.954503206717e+000  1.198689668982e+001 -9.407870591233e+000 -1.846215498648e+001  6.606357259437e+000 -1.122426254644e+000 -3.781590522357e+000 -1.309563052474e+001 -1.130058870525e+001  3.137501169462e+000  8.840063149497e+000  9.830744054478e+000 -1.392373838211e+001  1.455971528544e+001
