 -5.210435109374e+000  5.531240270164e+000  4.019336529984e+000 -1.037867722505e+001 -1.243496884663e+001  1.934551541771e+001 -1.768517864259e+001  9.517814557136e+000  8.577449200973e+000  8.745983050745e+000  3.007835079993e+000  1.187162827827e+001  1.247042043909e+000 -1.642916882480e+001  1.071867628095e+001 -3.453547592207e+000 -1.494368023416e+000 -3.890979383792e+000 -1.253103410284e+001  1.363178502491e+001  7.624395903467e+000  1.841528898141e+001  2.548502886332e+000  1.362515357352e+001 -1.574233738189e+001 -1.162008821864e+001  6.045581556294e+000  4.167954099035e+000  6.877441633861e+000 -1.201082657165e+001 -7.347931992428e+000 -7.146242663891e-001  8.900443855014e+000  1.363210807796e+001 -9.566337535026e+000 -2.630634873192e+000 -1.394655521322e+000 -1.668979711185e+001  1.144007161560e+001 -1.764191969776e+001  2.238636669503e+000 -2.604240926640e+000 -8.482296055013e+000 -1.260754849225e+001  1.061330799624e+001 -1.263128960723e+001  3.239043572994e+000 -2.083650380109e-001  1.122262771192e+001 -5.934983535856e+000  1.574834979899e+001 -6.473365003551e+000  7.391299154428e+000 -6.345653658786e+000  1.865864513279e+001  1.282331284800e+001  1.844953681668e+001  2.773779275888e-001  1.448105196793e+001  2.736875601578e+000 -7.831900235200e+000 -6.141339817973e-001  4.978848757655e+000  3.844316249235e-001 -1.316979283940e+001  8.991708060728e+000  5.524247167942e+000  9.736217015452e+000 -7.244173757974e+000 -7.555446586607e+000  1.987879767270e+000  4.586684739039e+000  1.389031184489e+001 -1.724848091414e-001 -1.245624130255e+000  1.289559099420e+001 -8.558685363010e+000 -7.418772673280e+000 -7.105174967142e+000  1.197902297927e+001  7.738553650635e+000 -1.487691806298e+001  4.436590892127e+000 -1.541425406112e+001 -1.650211231282e+001  1.440528742150e+001 -9.771565307988e-001 -1.901531292313e+001  9.853519243270e+000  1.703067757303e+001  1.146459559208e+001 -9.140622227815e-002 -1.521037172270e+001  8.636504439272e+000 -1.529109157851e+001  1.374565069363e+001  7.795160574853e+000  5.665386916226e-001 -1.965473691144e+001 -4.662281303746e+000
 -5.210418787408e+000  5.531287334411e+000  4.019236667864e+000 -1.037857671169e+001 -1.243482519909e+001  1.934515827288e+001 -1.768540011966e+001  9.517512712838e+000  8.577505444580e+000  8.745736270115e+000  3.007874926279e+000  1.187148737544e+001  1.247187993914e+000 -1.642889294026e+001  1.071870938772e+001 -3.453645514465e+000 -1.494487165128e+000 -3.890949684994e+000 -1.253091041504e+001  1.363151487223e+001  7.624242572803e+000  1.841500860351e+001  2.548690928163e+000  1.362495249288e+001 -1.574222541228e+001 -1.161997270764e+001  6.045579193313e+000  4.167885123424e+000  6.877482505374e+000 -1.201076965803e+001 -7.347694825046e+000 -7.145431351263e-001  8.900345522041e+000  1.363198775955e+001 -9.566127255180e+000 -2.630568688260e+000 -1.394751520278e+000 -1.668946913528e+001  1.143961882322e+001 -1.764166373360e+001  2.238682852450e+000 -2.604234102252e+000 -8.482216985732e+000 -1.260746366571e+001  1.061350429008e+001 -1.263112149769e+001  3.238984729424e+000 -2.082300274718e-001  1.122272005682e+001 -5.934925578368e+000  1.574813959453e+001 -6.473203302944e+000  7.391324085386e+000 -6.345422834741e+000  1.865833797271e+001  1.282319304497e+001  1.844925924187e+001  2.774693285219e-001  1.448081067479e+001  2.736820547534e+000 -7.831783159678e+000 -6.140881461342e-001  4.978880973088e+000  3.844662419543e-001 -1.316963741290e+001  8.991537649531e+000  5.524443764285e+000  9.736073029524e+000 -7.243895980380e+000 -7.555205099589e+000  1.987874834952e+000  4.586602977256e+000  1.389007380376e+001 -1.723444499904e-001 -1.245477540508e+000  1.289542465704e+001 -8.558557372629e+000 -7.418820948493e+000 -7.105040236581e+000  1.197893265630e+001  7.738270154782e+000 -1.487670302202e+001  4.436565760271e+000 -1.541409983825e+001 -1.650182795772e+001  1.440498235404e+001 -9.770475477666e-001 -1.901613332310e+001  9.853370899155e+000  1.703042644090e+001  1.146423811007e+001 -9.142263396867e-002 -1.521020828022e+001  8.636416657544e+000 -1.529090471930e+001  1.374530003432e+001  7.795018219270e+000  5.665512980199e-001 -1.965299749858e+001 -4.662223426002e+000
 -5.210369823841e+000  5.531428549487e+000  4.018937032688e+000 -1.037827516853e+001 -1.243439425420e+001  1.934408680646e+001 -1.768606566952e+001  9.516606880578e+000  8.577674483211e+000  8.744995841602e+000  3.007994483747e+000  1.187106465716e+001  1.247625892010e+000 -1.642806525938e+001  1.071880874528e+001 -3.453939338104e+000 -1.494844613586e+000 -3.890860583691e+000 -1.253053934905e+001  1.363070439554e+001  7.623782554717e+000  1.841416745182e+001  2.549255102283e+000  1.362434960471e+001 -1.574188962377e+001 -1.161962617102e+001  6.045572101613e+000  4.167678188055e+000  6.877605206083e+000 -1.201059891537e+001 -7.346983279228e+000 -7.142997267976e-001  8.900050518476e+000  1.363162679597e+001 -9.565496335265e+000 -2.630370128436e+000 -1.395039558815e+000 -1.668848507803e+001  1.143825958499e+001 -1.764089582874e+001  2.238821408035e+000 -2.604213635927e+000 -8.481979772997e+000 -1.260720918501e+001  1.061409417028e+001 -1.263061716010e+001  3.238808177975e+000 -2.078249760233e-001  1.122299729448e+001 -5.934751792721e+000  1.574750896986e+001 -6.472718182332e+000  7.391398887133e+000 -6.344730334658e+000  1.865741646671e+001  1.282283362590e+001  1.844842650643e+001  2.777435477872e-001  1.448008678299e+001  2.736655375321e+000 -7.831431921069e+000 -6.139506324937e-001  4.978977628126e+000  3.845700944668e-001 -1.316917113022e+001  8.991026383741e+000  5.525033766328e+000  9.735641064358e+000 -7.243062498350e+000 -7.554480573525e+000  1.987860040052e+000  4.586357678719e+000  1.388935963817e+001 -1.719233435721e-001 -1.245037749312e+000  1.289492565538e+001 -8.558173393446e+000 -7.418965828272e+000 -7.104636038669e+000  1.197866168217e+001  7.737419508019e+000 -1.487605788907e+001  4.436490364072e+000 -1.541363716155e+001 -1.650097486809e+001  1.440406709347e+001 -9.767205836284e-001 -1.901861289258e+001  9.852925853520e+000  1.702967301880e+001  1.146316560577e+001 -9.147188129686e-002 -1.520971794313e+001  8.636153306130e+000 -1.529034413187e+001  1.374424753302e+001  7.794591122928e+000  5.665891192016e-001 -1.964775782929e+001 -4.662049807786e+000
 -5.210288225662e+000  5.531663982450e+000  4.018437477905e+000 -1.037777258634e+001 -1.243367600511e+001  1.934230092269e+001 -1.768717865995e+001  9.515096159770e+000  8.577957242984e+000  8.743761505087e+000  3.008193808237e+000  1.187036009406e+001  1.248355882531e+000 -1.642668570026e+001  1.071897446552e+001 -3.454429233831e+000 -1.495440438717e+000 -3.890712065147e+000 -1.252992089710e+001  1.362935353886e+001  7.623015770887e+000  1.841276547249e+001  2.550195554632e+000  1.362334598489e+001 -1.574133037810e+001 -1.161904859788e+001  6.045560272913e+000  4.167333267318e+000  6.877809994806e+000 -1.201031433825e+001 -7.345797223900e+000 -7.138939977688e-001  8.899558830374e+000  1.363102516220e+001 -9.564444533941e+000 -2.630039178623e+000 -1.395519762051e+000 -1.668684455695e+001  1.143599130351e+001 -1.763961594601e+001  2.239052356499e+000 -2.604179548192e+000 -8.481584402128e+000 -1.260678504684e+001  1.061508064961e+001 -1.262977656749e+001  3.238513856414e+000 -2.071498241587e-001  1.122346003444e+001 -5.934462439888e+000  1.574645789112e+001 -6.471909585334e+000  7.391523586290e+000 -6.343576074668e+000  1.865588053756e+001  1.282223456082e+001  1.844703857729e+001  2.782006347974e-001  1.447888025537e+001  2.736380054681e+000 -7.830846483236e+000 -6.137214209206e-001  4.979138748997e+000  3.847431867202e-001 -1.316839398177e+001  8.990174166701e+000  5.526017814058e+000  9.734921097813e+000 -7.241672863579e+000 -7.553272813266e+000  1.987835388729e+000  4.585948803847e+000  1.388816922147e+001 -1.712214029548e-001 -1.244304690772e+000  1.289409401879e+001 -8.557533401340e+000 -7.419207475191e+000 -7.103962354707e+000  1.197821004124e+001  7.736001231999e+000 -1.487498263387e+001  4.436364701639e+000 -1.541286600681e+001 -1.649955297093e+001  1.440254146512e+001 -9.761755932487e-001 -1.902280833124e+001  9.852184066485e+000  1.702841722957e+001  1.146137790440e+001 -9.155400104915e-002 -1.520890068257e+001  8.635714366348e+000 -1.528940978687e+001  1.374249160589e+001  7.793879197005e+000  5.666521611385e-001 -1.963895184666e+001 -4.661760494182e+000
 -5.210174004528e+000  5.531993745240e+000  4.017737758968e+000 -1.037706894969e+001 -1.243267044046e+001  1.933980046192e+001 -1.768874474327e+001  9.512979041046e+000  8.578355276451e+000  8.742032826192e+000  3.008472992879e+000  1.186937363720e+001  1.249378206338e+000 -1.642475412638e+001  1.071920673515e+001 -3.455115486526e+000 -1.496274756982e+000 -3.890504104774e+000 -1.252905504625e+001  1.362746220889e+001  7.621942090617e+000  1.841080257569e+001  2.551512528641e+000  1.362194347633e+001 -1.574054828048e+001 -1.161823997007e+001  6.045543693389e+000  4.166850318518e+000  6.878097303941e+000 -1.200991591767e+001 -7.344136440400e+000 -7.133258752684e-001  8.898870434497e+000  1.363018281651e+001 -9.562971448294e+000 -2.629575813657e+000 -1.396192338923e+000 -1.668454693129e+001  1.143280960212e+001 -1.763782402349e+001  2.239375731586e+000 -2.604131873296e+000 -8.481030848652e+000 -1.260619124567e+001  1.061646880561e+001 -1.262859967489e+001  3.238101660919e+000 -2.062044726574e-001  1.122410929486e+001 -5.934057956577e+000  1.574498630185e+001 -6.470777417935e+000  7.391698227248e+000 -6.341959914927e+000  1.865373005637e+001  1.282139579986e+001  1.844509539940e+001  2.788406719545e-001  1.447719102999e+001  2.735994535132e+000 -7.830026785914e+000 -6.134004781518e-001  4.979364379434e+000  3.849855258091e-001 -1.316730595158e+001  8.988980837135e+000  5.527396977316e+000  9.733913092995e+000 -7.239726327038e+000 -7.551581493166e+000  1.987800891255e+000  4.585376286628e+000  1.388650234237e+001 -1.702384831347e-001 -1.243278254990e+000  1.289292979671e+001 -8.556637356109e+000 -7.419546160718e+000 -7.103019153517e+000  1.197757770744e+001  7.734014527024e+000 -1.487347720604e+001  4.436188769819e+000 -1.541178633369e+001 -1.649756214451e+001  1.440040517754e+001 -9.754125013672e-001 -1.902881976342e+001  9.851145471552e+000  1.702665894455e+001  1.145887471443e+001 -9.166905459162e-002 -1.520775645043e+001  8.635099807048e+000 -1.528810163534e+001  1.374002956650e+001  7.792882293295e+000  5.667404337847e-001 -1.962646321901e+001 -4.661355560472e+000
 -5.210027176777e+000  5.532417994935e+000  4.016837532876e+000 -1.037616423701e+001 -1.243137754439e+001  1.933658520066e+001 -1.769077191511e+001  9.510253393504e+000  8.578870776338e+000  8.739809194998e+000  3.008832168183e+000  1.186810521799e+001  1.250693201287e+000 -1.642227034648e+001  1.071950581611e+001 -3.455998495802e+000 -1.497347731231e+000 -3.890236668097e+000 -1.252794177839e+001  1.362503027494e+001  7.620561330591e+000  1.840827863564e+001  2.553206365530e+000  1.362014476756e+001 -1.573954418324e+001 -1.161720026213e+001  6.045522343636e+000  4.166229281857e+000  6.878467741013e+000 -1.200940364102e+001 -7.342000622172e+000 -7.125952573159e-001  8.897985298302e+000  1.362909970046e+001 -9.561076512801e+000 -2.628979998285e+000 -1.397057582787e+000 -1.668159129953e+001  1.142870825153e+001 -1.763551997440e+001  2.239791580570e+000 -2.604070659263e+000 -8.480319078300e+000 -1.260542777374e+001  1.061826586728e+001 -1.262708641938e+001  3.237571445946e+000 -2.049887825220e-001  1.122494650596e+001 -5.933538957880e+000  1.574309412296e+001 -6.469321548427e+000  7.391922872193e+000 -6.339881659512e+000  1.865096484248e+001  1.282031727328e+001  1.844259689566e+001  2.796637747214e-001  1.447501902013e+001  2.735498745901e+000 -7.828972744655e+000 -6.129877576107e-001  4.979654580703e+000  3.852971216573e-001 -1.316590701730e+001  8.987446168869e+000  5.529172760615e+000  9.732616998271e+000 -7.237221836173e+000 -7.549406156487e+000  1.987756562029e+000  4.584640034553e+000  1.388435870451e+001 -1.689743808578e-001 -1.241958287959e+000  1.289143305882e+001 -8.555485201471e+000 -7.419982265994e+000 -7.101806391413e+000  1.197676464419e+001  7.731458268327e+000 -1.487154153500e+001  4.435962564206e+000 -1.541039808570e+001 -1.649500221834e+001  1.439765782211e+001 -9.744312025457e-001 -1.903680041847e+001  9.849809975555e+000  1.702439798356e+001  1.145565562729e+001 -9.181712795312e-002 -1.520628517933e+001  8.634309584610e+000 -1.528641960870e+001  1.373685755241e+001  7.791600203959e+000  5.668539510825e-001 -1.961011461567e+001 -4.660835112330e+000
 -5.209847763441e+000  5.532936934123e+000  4.015736357538e+000 -1.037505842049e+001 -1.242979729659e+001  1.933265485156e+001 -1.769327059570e+001  9.506916446462e+000  8.579506595173e+000  8.737089824247e+000  3.009271502167e+000  1.186655474825e+001  1.252301302871e+000 -1.641923411442e+001  1.071987204612e+001 -3.457078776787e+000 -1.498659570505e+000 -3.889909710691e+000 -1.252658107030e+001  1.362205756889e+001  7.618873254541e+000  1.840519349057e+001  2.555277504734e+000  1.361795351120e+001 -1.573831919085e+001 -1.161592944132e+001  6.045496198616e+000  4.165470080407e+000  6.878922090875e+000 -1.200877749205e+001 -7.339389374331e+000 -7.117020126213e-001  8.896903379942e+000  1.362777573891e+001 -9.558758997884e+000 -2.628251687153e+000 -1.398115872277e+000 -1.667797649478e+001  1.142367906278e+001 -1.763270368718e+001  2.240299964279e+000 -2.603995967976e+000 -8.479449046992e+000 -1.260449462102e+001  1.062048134148e+001 -1.262523672001e+001  3.236923024031e+000 -2.035025748889e-001  1.122597351475e+001 -5.932906241024e+000  1.574078125271e+001 -6.467541807317e+000  7.392197601146e+000 -6.337341056277e+000  1.864758466318e+001  1.281899889157e+001  1.843954296701e+001  2.806700917228e-001  1.447236411419e+001  2.734892595814e+000 -7.827684250748e+000 -6.124831993981e-001  4.980009431647e+000  3.856779870094e-001 -1.316419715024e+001  8.985569870443e+000  5.531347109963e+000  9.731032747281e+000 -7.234158030944e+000 -7.546746214559e+000  1.987702419585e+000  4.583739928524e+000  1.388173792595e+001 -1.674288343707e-001 -1.240344591402e+000  1.288960389544e+001 -8.554076865062e+000 -7.420516282925e+000 -7.100324012167e+000  1.197577080441e+001  7.728331000819e+000 -1.486917552996e+001  4.435686079141e+000 -1.540870119020e+001 -1.649187297305e+001  1.439429887234e+001 -9.732315610950e-001 -1.904697316196e+001  9.848177458591e+000  1.702163411475e+001  1.145172011699e+001 -9.199833194204e-002 -1.520448678267e+001  8.633343642919e+000 -1.528436361871e+001  1.373297041467e+001  7.790032661176e+000  5.669927309696e-001 -1.958964941309e+001 -4.660199286113e+000
 -5.209635790277e+000  5.533550811373e+000  4.014433690949e+000 -1.037375146610e+001 -1.242792967239e+001  1.932800906338e+001 -1.769625373172e+001  9.502964765350e+000  8.580266271246e+000  8.733873746992e+000  3.009791200524e+000  1.186472212010e+001  1.254203045065e+000 -1.641564512900e+001  1.072030583937e+001 -3.458356961134e+000 -1.500210529773e+000 -3.889523178114e+000 -1.252497289368e+001  1.361854388514e+001  7.616877572803e+000  1.840154694264e+001  2.557726484433e+000  1.361537449212e+001 -1.573687466660e+001 -1.161442746758e+001  6.045465227595e+000  4.164572620080e+000  6.879461318554e+000 -1.200803745091e+001 -7.336302213108e+000 -7.106459804546e-001  8.895624628259e+000  1.362621083993e+001 -9.556018008026e+000 -2.627390824776e+000 -1.399367672415e+000 -1.667370107882e+001  1.141771174219e+001 -1.762937502538e+001  2.240900957132e+000 -2.603907875271e+000 -8.478420700831e+000 -1.260339177515e+001  1.062312718425e+001 -1.262305047782e+001  3.236156165535e+000 -2.017456309153e-001  1.122719259110e+001 -5.932160790263e+000  1.573804756659e+001 -6.465437987208e+000  7.392522512017e+000 -6.334337796679e+000  1.864358923340e+001  1.281744054558e+001  1.843593349243e+001  2.818598048750e-001  1.446922617573e+001  2.734175973170e+000 -7.826161171120e+000 -6.118867302829e-001  4.980429028735e+000  3.861281374189e-001 -1.316217631534e+001  8.983351584608e+000  5.533922421769e+000  9.729160258966e+000 -7.230533238662e+000 -7.543600945697e+000  1.987638486616e+000  4.582675822737e+000  1.387863953852e+001 -1.656015230973e-001 -1.238436922579e+000  1.288744241810e+001 -8.552412258442e+000 -7.421148815597e+000 -7.098571946956e+000  1.197459613042e+001  7.724630932227e+000 -1.486637907995e+001  4.435359307723e+000 -1.540669555845e+001 -1.648817414025e+001  1.439032768309e+001 -9.718134109791e-001 -1.905965830871e+001  9.846247773930e+000  1.701836705456e+001  1.144706753951e+001 -9.221280229700e-002 -1.520236115457e+001  8.632201913354e+000 -1.528193355743e+001  1.372836156184e+001  7.788179336686e+000  5.671567953875e-001 -1.956470095252e+001 -4.659448249229e+000
 -5.209391287788e+000  5.534259921822e+000  4.012928890176e+000 -1.037224333354e+001 -1.242577464282e+001  1.932264742102e+001 -1.769973691231e+001  9.498394221188e+000  8.581154061457e+000  8.730159813700e+000  3.010391506823e+000  1.186260720595e+001  1.256399061360e+000 -1.641150303378e+001  1.072080768741e+001 -3.459833798281e+000 -1.502000909592e+000 -3.889077005811e+000 -1.252311721516e+001  1.361448898048e+001  7.614573941776e+000  1.839733875790e+001  2.560553942227e+000  1.361241386022e+001 -1.573521224080e+001 -1.161269429343e+001  6.045429394057e+000  4.163536789587e+000  6.880086572789e+000 -1.200718349409e+001 -7.332738565155e+000 -7.094269704849e-001  8.894148982774e+000  1.362440489483e+001 -9.552852479448e+000 -2.626397345512e+000 -1.400813535997e+000 -1.666876333461e+001  1.141079370171e+001 -1.762553382764e+001  2.241594647182e+000 -2.603806471061e+000 -8.477233976079e+000 -1.260211922143e+001  1.062621802479e+001 -1.262052757582e+001  3.235270598333e+000 -1.997176916417e-001  1.122860643509e+001 -5.931303782983e+000  1.573489291733e+001 -6.463009842665e+000  7.392897720666e+000 -6.330871515547e+000  1.863897821531e+001  1.281564210669e+001  1.843176832894e+001  2.832331295470e-001  1.446560504336e+001  2.733348745574e+000 -7.824403348199e+000 -6.111982636916e-001  4.980913486128e+000  3.866475912342e-001 -1.315984447122e+001  8.980790887704e+000  5.536901553913e+000  9.726999437588e+000 -7.226345467576e+000 -7.539969493856e+000  1.987564789998e+000  4.581447544536e+000  1.387506298696e+001 -1.634920672397e-001 -1.236234994039e+000  1.288494876022e+001 -8.550491277100e+000 -7.421880582031e+000 -7.096550114291e+000  1.197324055387e+001  7.720355924550e+000 -1.486315205371e+001  4.434982241811e+000 -1.540438108559e+001 -1.648390540246e+001  1.438574348952e+001 -9.701765556988e-001 -1.907532151601e+001  9.844020747907e+000  1.701459646751e+001  1.144169713219e+001 -9.246069987198e-002 -1.519990816991e+001  8.630884314757e+000 -1.527912929713e+001  1.372302274489e+001  7.786039841226e+000  5.673461702945e-001 -1.953473966437e+001 -4.658582200588e+000
 -5.209114291266e+000  5.535064607866e+000  4.011221210142e+000 -1.037053397618e+001 -1.242333217472e+001  1.931656944549e+001 -1.770373848653e+001  9.493199952978e+000  8.582174981806e+000  8.725946688760e+000  3.011072702746e+000  1.186020985847e+001  1.258890085996e+000 -1.640680741681e+001  1.072137816017e+001 -3.461510156933e+000 -1.504031055690e+000 -3.888571119005e+000 -1.252101399637e+001  1.360989257406e+001  7.611961963273e+000  1.839256866624e+001  2.563760615914e+000  1.360907945061e+001 -1.573333382088e+001 -1.161072986396e+001  6.045388655611e+000  4.162362460390e+000  6.880799190266e+000 -1.200621559447e+001 -7.328697766723e+000 -7.080447625879e-001  8.892476373686e+000  1.362235777809e+001 -9.549261177334e+000 -2.625271173529e+000 -1.402454105245e+000 -1.666316125722e+001  1.140290981597e+001 -1.762117990763e+001  2.242381136168e+000 -2.603691859483e+000 -8.475888799148e+000 -1.260067694270e+001  1.062977145241e+001 -1.261766787897e+001  3.234266007449e+000 -1.974184578321e-001  1.123021818557e+001 -5.930336597066e+000  1.573131713477e+001 -6.460257090044e+000  7.393323360977e+000 -6.326941790825e+000  1.863375121784e+001  1.281360342695e+001  1.842704731170e+001  2.847903147534e-001  1.446150053073e+001  2.732410759744e+000 -7.822410599748e+000 -6.104176996984e-001  4.981462935754e+000  3.872363695794e-001 -1.315720157020e+001  8.977887288912e+000  5.540287839124e+000  9.724550172769e+000 -7.221592399131e+000 -7.535850867045e+000  1.987481360817e+000  4.580054894240e+000  1.387100762794e+001 -1.611000273012e-001 -1.233738473326e+000  1.288212307795e+001 -8.548313800468e+000 -7.422712416282e+000 -7.094258419909e+000  1.197170399566e+001  7.715503483730e+000 -1.485949429973e+001  4.434554872043e+000 -1.540175765065e+001 -1.647906639288e+001  1.438054540592e+001 -9.683207681516e-001 -1.909465988945e+001  9.841496179791e+000  1.701032196613e+001  1.143560801293e+001 -9.274221085643e-002 -1.519712768428e+001  8.629390753410e+000 -1.527595069023e+001  1.371694376299e+001  7.783613723869e+000  5.675608856805e-001 -1.949897809967e+001 -4.657601371144e+000
